1.2800000e+02_C_   1.7900000e+02_C
  2.4219995  -25.8302872
  2.7394599  -25.8302872
  2.9012060  -25.8302872
  1.7576156  -25.8302872
 -0.0510437  -25.8302872
 -1.9533556  -25.8302872
 -3.6581835   26.1697128
 -4.7719933   26.1697128
 -4.6038794  -25.8302872
 -3.2922254  -25.8302872
 -2.3787377   26.1697128
 -2.4037157   26.1697128
 -2.1712420  -25.8302872
 -1.0719966  -25.8302872
 -0.2667311  -25.8302872
 -0.8372483  -25.8302872
 -2.1087268  -25.8302872
 -3.2469452  -25.8302872
 -4.5624674  -25.8302872
 -5.9683260  -25.8302872
 -6.9298109   26.1697128
 -7.4196875   26.1697128
 -6.9336796   26.1697128
 -4.9696586   26.1697128
 -2.4977899  -25.8302872
 -0.5027728  -25.8302872
  0.2684885   26.1697128
 -0.0741540   26.1697128
 -0.0035303   26.1697128
  1.0132525   26.1697128
  2.5121033  -25.8302872
  4.0113678  -25.8302872
  4.2848431   26.1697128
  2.9529787   26.1697128
  2.0291938  -25.8302872
  2.5393254  -25.8302872
  2.5540375  -25.8302872
  1.0903333  -25.8302872
 -0.6362240  -25.8302872
 -2.2515050  -25.8302872
 -4.0552906   26.1697128
 -5.2195194   26.1697128
 -4.8318940   26.1697128
 -3.1631988   26.1697128
 -1.0869986  -25.8302872
  0.7064254  -25.8302872
  1.3749749  -25.8302872
  0.7348009  -25.8302872
 -0.8173678  -25.8302872
 -2.5889977  -25.8302872
 -3.9820432   26.1697128
 -5.1821998   26.1697128
 -5.3032796   26.1697128
 -3.6485698   26.1697128
 -1.3342951   26.1697128
  0.8256278   26.1697128
  2.6617085   26.1697128
  4.3327917   26.1697128
  5.6746085   26.1697128
  6.6034642   26.1697128
  7.5671162   26.1697128
  8.5484969   26.1697128
  9.2937103  -25.8302872
  9.6733966  -25.8302872
  8.8860467  -25.8302872
  6.5232920  -25.8302872
  3.6030684  -25.8302872
  0.8892145  -25.8302872
 -1.4742940   26.1697128
 -3.1689016   26.1697128
 -3.2967042  -25.8302872
 -1.8906196  -25.8302872
 -1.1742195  -25.8302872
 -2.0352137  -25.8302872
 -3.2094902  -25.8302872
 -4.2981841  -25.8302872
 -5.3432736   26.1697128
 -6.1209467   26.1697128
 -5.7815712  -25.8302872
 -4.3826593  -25.8302872
 -3.4247138   26.1697128
 -3.4270405   26.1697128
 -2.9378260   26.1697128
 -1.4625711   26.1697128
  0.2698712  -25.8302872
  2.1333505  -25.8302872
  2.5923933  -25.8302872
