1.2800000e+02_C_   1.7900000e+02_C
  4.1527596   26.1697128
  5.3376822  -25.8302872
  6.4318003  -25.8302872
  6.2536534   26.1697128
  4.6916876   26.1697128
  3.6506660   26.1697128
  3.8558655   26.1697128
  4.6960146  -25.8302872
  5.6144706  -25.8302872
  5.3468240  -25.8302872
  3.4940580  -25.8302872
  1.3240737  -25.8302872
 -0.7623333  -25.8302872
 -2.8061576   26.1697128
 -4.3378861   26.1697128
 -4.3827018  -25.8302872
 -3.1795354  -25.8302872
 -2.3213221  -25.8302872
 -2.6196624  -25.8302872
 -3.5072668   26.1697128
 -4.4499013   26.1697128
 -4.1945735   26.1697128
 -2.5932840   26.1697128
 -0.7966270  -25.8302872
  1.0995697  -25.8302872
  1.8204819   26.1697128
  0.9617867   26.1697128
  0.5242815  -25.8302872
  1.0369726  -25.8302872
  1.0529887  -25.8302872
  0.0803489  -25.8302872
 -1.3960110  -25.8302872
 -3.1290165  -25.8302872
 -4.7475827  -25.8302872
 -6.0626422  -25.8302872
 -6.9778650   26.1697128
 -7.4441711   26.1697128
 -6.7009540  -25.8302872
 -4.8510849  -25.8302872
 -3.6633766  -25.8302872
 -3.7938392  -25.8302872
 -4.5959099   26.1697128
 -5.2497649   26.1697128
 -4.8473040   26.1697128
 -3.4162502   26.1697128
 -1.4611283   26.1697128
  0.7610063   26.1697128
  2.6287839   26.1697128
  4.0708166   26.1697128
  5.2959322  -25.8302872
  6.1653286  -25.8302872
  6.1178861  -25.8302872
  4.6225142  -25.8302872
  2.1442221   26.1697128
 -0.0992676   26.1697128
 -0.9971257  -25.8302872
 -0.4737844  -25.8302872
 -0.2071420   26.1697128
 -0.8068877   26.1697128
 -0.8672581  -25.8302872
 -0.1624168  -25.8302872
 -0.0485002   26.1697128
 -0.7260597   26.1697128
 -0.8260762  -25.8302872
  0.1037653  -25.8302872
  0.5775196   26.1697128
  0.0832974   26.1697128
  0.0766912   26.1697128
  1.0541253   26.1697128
  2.5329280  -25.8302872
  3.7767780  -25.8302872
  3.9201196  -25.8302872
  2.7671521  -25.8302872
  0.9537152  -25.8302872
 -1.1962309  -25.8302872
 -3.0272285   26.1697128
 -4.2053217   26.1697128
 -4.3151603   26.1697128
 -2.8999230   26.1697128
 -0.9528596  -25.8302872
  0.7747692  -25.8302872
  1.4097961   26.1697128
  0.9977423   26.1697128
  0.7878009   26.1697128
  1.6616357   26.1697128
  3.0876546   26.1697128
  4.3046112   26.1697128
  5.4150506   26.1697128
  6.4712194   26.1697128
  7.4997375  -25.8302872
  8.2689674  -25.8302872
  7.6800901  -25.8302872
  5.6636571  -25.8302872
  2.9198845   26.1697128
  0.2959323   26.1697128
 -0.7957713   26.1697128
 -0.1259943   26.1697128
  1.4412571   26.1697128
  2.9753717   26.1697128
  4.2474030  -25.8302872
  5.3859030  -25.8302872
  5.4755688   26.1697128
  4.2952535   26.1697128
  3.4486828   26.1697128
  3.7529551   26.1697128
  4.8887818   26.1697128
  5.9578855   26.1697128
  6.9929938   26.1697128
  8.0107815   26.1697128
  8.5293444  -25.8302872
  8.7935521  -25.8302872
  8.1925660   26.1697128
  6.1699635   26.1697128
  4.6490476   26.1697128
  4.6097409   26.1697128
  5.0801142   26.1697128
  5.8101693   26.1697128
  6.6725325   26.1697128
  7.6023065   26.1697128
  8.3212263   26.1697128
  8.6875160   26.1697128
  9.1193406   26.1697128
  9.5845552   26.1697128
 10.0667820   26.1697128
 10.5576766   26.1697128
 10.8077874   26.1697128
 10.9352189   26.1697128
 11.0001452  -25.8302872
 11.0332251  -25.8302872
 10.0692794   26.1697128
  7.8617490   26.1697128
  6.2466123   26.1697128
  6.1593001   26.1697128
  6.6052146   26.1697128
  7.0776080   26.1697128
  7.8086925  -25.8302872
  8.4263800  -25.8302872
  7.7602918   26.1697128
  5.7045198   26.1697128
  4.1667040   26.1697128
  4.1187869   26.1697128
  4.8299731   26.1697128
  5.6827225   26.1697128
  6.6075983  -25.8302872
  7.3240225  -25.8302872
  6.9534406  -25.8302872
  5.0482292  -25.8302872
